2018-03-05 04:44:30,order_target_percent,SPY,0.2,['MKT', None],STK
2018-03-05 04:44:44,order_target,SPY,1,['MKT', None],STK
2018-03-05 04:45:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:13:56,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:14:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:15:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:16:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:17:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:18:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:19:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:20:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:21:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:22:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:23:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:24:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:25:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:26:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:27:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:28:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:29:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:30:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:31:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:32:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:33:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:34:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:35:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:36:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:37:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:38:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:39:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:40:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:41:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:42:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:43:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:44:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:45:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:46:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:47:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:48:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:49:00,order_target,SPY,1,['MKT', None],STK
2018-03-05 22:50:00,order_target,SPY,1,['MKT', None],STK
2018-03-06 01:18:03,SPY,1,272.12
2018-03-06 01:19:00,SPY,1,272.12
